Position,Artist Name,Song Name,Days,Peak Position,Total Streams
2331,Stephanie Beatriz ,All Of You,53,63,15143750
2332,J. Cole ,Window Pain  Outro,28,13,15113369
2333,bbno$ ,edamame,65,98,15109159
2334,Zach Bryan ,Heading South,57,125,15109094
2335,Ed Sheeran ,Sing,171,35,15098112
2336,Sam Smith ,Lay Me Down,163,12,15097116
2337,Lil Wayne ,What About Me,21,7,15073744
2338,Ivan Cornejo ,La Curiosidad,59,135,15064951
2339,Tory Lanez ,FeRRis WhEEL,61,82,15050494
2340,Bad Bunny ,Me Fui de Vacaciones,40,26,15038728
2341,The Weeknd ,All I Know,58,15,15034988
2342,Lil Dicky ,Earth,40,21,15034362
2343,Jon Pardi ,Head Over Boots,112,128,15019454
2344,Lukas Graham ,Mama Said,62,54,15015570
2345,SZA ,SOS,19,2,14996085
2346,Ava Max ,My Head & My Heart,65,111,14993222
2347,Drake ,7am On Bridle Path,23,12,14990822
2348,Bad Bunny ,Amorfoda,54,67,14954773
2349,Nicky Jam ,Te Robaré,68,160,14952627
2350,"Earth, Wind & Fire ",September,45,7,14950866
2351,Lil Yachty ,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),56,53,14945575
2352,Kanye West ,All Falls Down,60,106,14937741
2353,Freddie Dredd ,Limbo,44,94,14923501
2354,Future ,Draco,56,16,14911894
2355,Louis Armstrong ,Cool Yule,41,50,14891305
2356,Yeat ,Poppin,59,43,14890571
2357,Little Mix ,Touch,61,92,14881773
2358,NAV ,Price On My Head,48,17,14876620
2359,Adam Lambert ,Ghost Town,122,69,14862975
2360,DVBBS ,Not Going Home,65,65,14857892
2361,Travis Scott ,NC17,32,11,14850689
2362,Vice ,Obsession,63,88,14837496
2363,Taylor Swift ,I Think He Knows,31,5,14826032
2364,Loren Allred ,Never Enough,58,72,14813245
2365,J. Cole ,She's Mine Pt. 1,39,6,14810711
2366,Kanye West ,Closed On Sunday,23,2,14809643
2367,XXXTENTACION ,I Don't Wanna Do This Anymore,61,27,14807142
2368,Nick Jonas ,Chains,128,41,14804361
2369,Drake ,Jumbotron Shit Poppin,25,15,14800695
2370,Wiz Khalifa ,Pull Up,101,127,14774165
2371,Black Eyed Peas ,GIRL LIKE ME,67,144,14746377
2372,Chris Brown ,Back To Sleep,100,62,14737284
2373,Gunna ,COOLER THAN A BITCH,48,8,14725493
2374,"Tyler, The Creator ",Who Dat Boy,63,39,14724096
2375,Lil Baby ,In A Minute,52,33,14709917
2376,Ziv Zaifman ,A Million Dreams,57,71,14702025
2377,Travis Scott ,WHO? WHAT!,33,15,14700828
2378,Brent Faiyaz ,Trust,56,71,14700649
2379,Maroon 5 ,This Summer,84,26,14676606
2380,Sean Paul ,Mad Love,53,80,14650397
2381,Isaiah Firebrace ,It's Gotta Be You,72,98,14648699
2382,Chris Lane ,Take Back Home Girl (Feat. Tori Kelly),66,94,14648256
2383,Kanye West ,Violent Crimes,27,6,14645627
2384,Elvis Presley ,Here Comes Santa Claus (Right Down Santa Claus Lane),37,51,14637973
2385,Lil Skies ,I Know You,59,78,14626679
2386,Beyoncé ,Drunk in Love,186,49,14617225
2387,SZA ,Special,19,15,14613168
2388,Stunna 4 Vegas ,Up The Smoke,58,122,14610811
2389,Kanye West ,Believe What I Say,24,7,14576420
2390,Logic ,Contra,29,5,14564562
2391,Bebe Rexha ,No Broken Hearts,71,70,14553944
2392,The Game ,Eazy,34,2,14532976
2393,Rita Ora ,Let You Love Me,52,72,14518539
2394,Juice WRLD ,I Want It,29,13,14518462
2395,Avicii ,Heaven,36,12,14510515
2396,Vedo ,You Got It,53,68,14510021
2397,Cheat Codes ,Feels Great,57,74,14509537
2398,Playboi Carti ,@ MEH,29,3,14485990
2399,Lil Wayne ,"I Do It (ft. Big Sean, Lil Baby)",31,5,14475878
2400,Future ,Patek Water,46,16,14474706
2401,Panic! At The Disco ,Victorious,107,53,14454104
2402,Iggy Azalea ,Beg For It,119,31,14443301
2403,Post Malone ,I Know,31,17,14420097
2404,Morgan Wallen ,Dangerous,48,22,14410601
2405,Taylor Swift ,happiness,26,7,14385968
2406,PARTYNEXTDOOR ,Not Nice,100,111,14363266
2407,MØ ,Nights With You,59,83,14356435
2408,J. Cole ,For Whom The Bell Tolls,34,3,14337420
2409,Cardi B ,Best Life,35,18,14332225
2410,Morgan Wallen ,Warning,42,7,14303234
2411,DaBaby ,Lonely,46,33,14297746
2412,The Weeknd ,Privilege,28,8,14248966
2413,Nause ,Dynamite,78,64,14248284
2414,Taylor Swift ,I Bet You Think About Me,27,8,14247743
2415,AlunaGeorge ,You Know You Like It  DJ Snake Remix,44,11,14242669
2416,Kanye West ,On God,20,3,14239082
2417,Lil Uzi Vert ,Bean (Kobe),35,3,14238015
2418,Dan + Shay ,From the Ground Up,108,114,14230227
2419,Bad Bunny ,Un Verano Sin Ti,38,25,14220465
2420,Camila Cabello ,Havana  Remix,49,50,14218798
2421,J. Cole ,a p p l y i n g . p r e s s u r e,21,4,14200416
2422,Little Big Town ,Girl Crush,126,58,14192476
2423,Taylor Swift ,ivy,27,11,14173743
2424,Joyner Lucas ,Your Heart,40,15,14155248
2425,DJ Khaled ,Wish Wish,42,32,14154938
2426,DJ Snake ,A Different Way,59,69,14153138
2427,Lil Baby ,California Breeze,37,6,14145607
2428,Disclosure ,Omen,87,35,14112881
2429,Diplo ,Lonely,48,54,14111633
2430,Ed Sheeran ,New Man,35,19,14105169
2431,Labrinth ,I'm Tired,35,3,14089005
2432,Drake ,Peak,22,17,14087664
2433,Taylor Swift ,Red (Taylor's Version),20,2,14055407
2434,A Boogie Wit da Hoodie ,Say A',56,51,14029320
2435,PARTYNEXTDOOR ,Loyal,40,3,14020030
2436,Fall Out Boy ,Irresistible,86,57,14019836
2437,iann dior ,gone girl,54,79,14008972
2438,Dan + Shay ,All To Myself,62,126,14007330
2439,Drake ,Is There More,21,14,13991386
2440,Drake ,Can't Have Everything,32,17,13976765
2441,Rihanna ,Desperado,97,53,13962759
2442,Travis Scott ,HOUSTONFORNICATION,34,17,13955682
2443,Avicii ,The Nights,142,55,13947934
2444,J. Cole ,Ville Mentality,35,5,13938894
2445,Ariana Grande ,off the table,30,4,13937245
2446,J. Cole ,1 0 0 . m i l ‘,21,5,13936818
2447,Drake ,More M’s,25,14,13933151
2448,Demi Lovato ,Met Him Last Night,35,12,13932117
2449,Baby Keem ,trademark usa,56,36,13912437
2450,Ariana Grande ,just like magic,31,6,13907566
2451,Kid Cudi ,Day 'N' Nite (Nightmare),61,115,13893681
2452,Charlie Puth ,Done for Me,56,77,13886260
2453,Møme ,Aloha,101,113,13880878
2454,Eminem ,Normal,28,7,13869033
2455,Anuel AA ,Hasta Que Dios Diga,45,15,13851610
2456,Taylor Swift ,All Too Well (Taylor's Version),21,3,13844058
2457,Sabrina Carpenter ,Why,67,99,13836330
2458,Belly ,Might Not,108,133,13796449
2459,Arcángel ,La Jumpa,27,14,13778260
2460,Kehlani ,Gangsta,73,63,13765705
2461,DaBaby ,PICK UP,44,7,13759452
2462,Taylor Swift ,epiphany,26,14,13738125
2463,"Tyler, The Creator ",JUGGERNAUT,28,5,13733001
2464,Lil Skies ,No Rest,53,103,13732592
2465,J. Cole ,l e t . g o . m y . h a n d,21,8,13724909
2466,DJ Khaled ,Top Off,45,16,13717753
2467,Polo G ,Distraction,43,31,13716417
2468,JVKE ,this is what falling in love feels like,58,122,13696202
2469,siouxxie sixxsta ,masquerade,53,75,13691754
2470,Doja Cat ,Candy,46,56,13689297
2471,Taylor Swift ,Miss Americana & The Heartbreak Prince,28,7,13685500
2472,Taylor Swift ,peace,26,15,13677337
2473,Post Malone ,I'm Gonna Be,39,26,13674342
2474,Kendrick Lamar ,The Heart Part 4,30,7,13661289
2475,Tim McGraw ,Humble And Kind,112,149,13655428
2476,Lil Uzi Vert ,444+222,43,7,13644506
2477,Gucci Mane ,Back On Road,75,53,13632326
2478,Parker McCollum ,Pretty Heart,59,108,13624667
2479,Kendrick Lamar ,Savior,21,12,13624131
2480,Sam Smith ,Money On My Mind,159,41,13621005
2481,Lil Baby ,Out The Mud,42,41,13601821
2482,Drake ,Race My Mind,22,16,13599000
2483,Gucci Mane ,Tone it Down,72,82,13594677
2484,Liam Payne ,Familiar,52,51,13591467
2485,P!nk ,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",89,95,13578152
2486,City Girls ,Twerk,53,110,13571282
2487,Drake ,Treacherous Twins,20,12,13565098
2488,Demi Lovato ,I Love Me,35,27,13558675
2489,J. Cole ,4 Your Eyez Only,38,9,13552561
2490,One Direction ,History,89,26,13552345
2491,Galantis ,Heartbreak Anthem,60,94,13529773
2492,Joji ,Run,32,7,13528538
2493,Shawn Mendes ,When You're Gone,36,3,13466685
2494,Luke Bryan ,Knockin' Boots,59,143,13458141
2495,Keith Urban ,"John Cougar, John Deere, John 3:16",127,61,13441800
2496,Logic ,Midnight,35,16,13440288
2497,Tyler Childers ,Feathered Indians,53,125,13416178
2498,Maroon 5 ,Nobody's Love,42,43,13415953
2499,FLETCHER ,Undrunk,44,60,13403304
2500,Billie Eilish ,Bored,52,64,13383835
2501,Ray Parker Jr. ,Ghostbusters,30,5,13381261
2502,A$AP Rocky ,Babushka Boi,37,13,13380316
2503,Ed Sheeran ,What Do I Know?,35,17,13367658
2504,A$AP Mob ,RAF,69,127,13362506
2505,Lil Uzi Vert ,Yessirskiii,35,4,13327286
2506,Post Malone ,Jonestown (Interlude),28,19,13325158
2507,Ozuna ,Se Preparó,69,118,13312784
2508,Future ,Patek,48,51,13307573
2509,The Weeknd ,Attention,53,23,13290074
2510,Brent Faiyaz ,Gravity,49,13,13289954
2511,Rod Wave ,Tombstone,38,20,13281240
2512,Huncho Jack ,Dubai Shit,41,10,13276729
2513,PinkPantheress ,Just for me,50,55,13262025
2514,DJ Khaled ,Just Us,35,31,13255709
2515,Lauv ,There's No Way,49,78,13210222
2516,SZA ,Power is Power,34,11,13198889
2517,Kanye West ,Wouldn't Leave,21,4,13196382
2518,Alesso ,REMEDY,43,58,13194535
2519,Nick Jonas ,Levels,89,53,13190448
2520,Drake ,Forever,184,108,13186754
2521,Luke Bryan ,One Margarita,55,93,13184427
2522,XXXTENTACION ,I don’t even speak spanish lol,39,25,13164180
2523,Post Malone ,Internet,28,14,13139202
2524,Chance the Rapper ,I Might Need Security,32,7,13106160
2525,Kanye West ,Selah,19,3,13100422
2526,Drake ,Middle of the Ocean,19,12,13077181
2527,Metro Boomin ,On Time,23,14,13067947
2528,Lil Uzi Vert ,I'm Sorry,21,7,13057882
2529,Jason Aldean ,Burnin' It Down,86,22,13053725
2530,Gera MX ,Botella Tras Botella,49,53,13035673
2531,Nicki Minaj ,Bed Of Lies,109,16,13009051
2532,R. Kelly ,Ignition  Remix,117,91,12986253
2533,Kodak Black ,There He Go,76,143,12980165
2534,"Bobby ""Boris"" Pickett & The Crypt",Kickers  Monster Mash,26,1,12978123
2535,Trippie Redd ,Who Needs Love,35,9,12974726
2536,Lil Pump ,Designer,48,41,12965097
2537,Adele ,Can I Get It,22,4,12960295
2538,SZA ,Gone Girl,19,15,12943893
2539,Ty Dolla $ign ,Pineapple,43,58,12941693
2540,Chance the Rapper ,Same Drugs,61,38,12923262
2541,ZAYN ,Let Me,38,39,12919067
2542,J. Cole ,FRIENDS,21,11,12915498
2543,Zac Brown Band ,Homegrown,133,63,12890279
2544,ScHoolboy Q ,CHopstix,33,21,12879453
2545,NF ,Lie,45,59,12872218
2546,SHAED ,Trampoline,44,74,12867071
2547,Kanye West ,FML,61,26,12854136
2548,Lil Wayne ,Nothing but Trouble  Instagram Models,132,88,12843024
2549,YUNGBLUD ,11 Minutes,35,40,12809483
2550,Juice WRLD ,Maze,32,14,12792606
2551,Lauren Daigle ,You Say,54,115,12786610
2552,Adele ,My Little Love,22,4,12785168
2553,Trey Songz ,"Touchin, Lovin",149,51,12781075
2554,Trippie Redd ,Bust Down,66,119,12777947
2555,SZA ,Notice Me,19,14,12760652
2556,Sam Smith ,Diamonds,48,17,12757247
2557,Nicki Minaj ,Do We Have A Problem?,30,4,12748587
2558,Martin Garrix ,So Far Away,55,75,12742819
2559,Chris Young ,Think of You,103,125,12742094
2560,Drake ,Falling Back,16,1,12737515
2561,Pop Smoke ,Make It Rain,38,14,12728195
2562,Ivan Cornejo ,J.,50,134,12726687
2563,Travis Scott ,ASTROTHUNDER,28,14,12721909
2564,A Boogie Wit da Hoodie ,Undefeated,52,76,12695431
2565,David Guetta ,Don't Leave Me Alone,48,65,12686598
2566,SZA ,F2F,19,16,12681004
2567,Dreezy ,Body,96,128,12673888
2568,Lil Uzi Vert ,Dark Queen,55,49,12657609
2569,Drake ,Nothings Into Somethings,27,16,12650115
2570,Lady Gaga ,Million Reasons,64,25,12648936
2571,Ariana Grande ,everytime,27,7,12648918
2572,J. Cole ,The Climb Back,32,1,12648864
2573,Drake ,You Only Live Twice,21,16,12631074
2574,DJ Khaled ,To the Max,34,15,12618601
2575,Gryffin ,Tie Me Down,41,54,12615453
2576,Lil Skies ,Havin My Way,56,117,12612738
2577,Drake ,Change Locations,90,39,12607167
2578,Migos ,Call Casting,51,18,12593299
2579,Kanye West ,I Wonder,49,131,12585475
2580,Hugh Jackman ,The Other Side,50,81,12579182
2581,K CAMP ,Comfortable,118,88,12566523
2582,Gucci Mane ,Both,57,103,12564694
2583,Lauren Spencer Smith ,Flowers,36,13,12553344
2584,DRAM ,Cash Machine,85,115,12545543
2585,Taylor Swift ,long story short,25,13,12545334
2586,Kanye West ,Everything We Need,19,6,12536475
2587,SZA ,Open Arms,19,24,12523974
2588,Taylor Swift ,Cornelia Street,26,9,12523821
2589,DJ Snake ,Turn Down for What,160,32,12523803
2590,Kendrick Lamar ,We Cry Together,16,7,12496748
2591,Moon Taxi ,Two High,64,100,12486957
2592,The Weeknd ,Gasoline,24,2,12486527
2593,Travis Scott ,SKELETONS,27,10,12479382
2594,carolesdaughter ,Violent,50,50,12475197
2595,Polo G ,Epidemic,44,21,12442778
2596,The Kid LAROI ,ALWAYS DO,41,37,12437345
2597,Kina ,Get You The Moon,55,138,12418217
2598,Drake ,Faithful,64,47,12401179
2599,Taylor Swift ,You All Over Me,28,2,12367853
2600,Twenty One Pilots ,Shy Away,40,34,12366514
2601,Drake ,Glow,26,14,12363424
2602,Shordie Shordie ,Bitchuary,53,131,12363017
2603,Taylor Swift ,London Boy,26,10,12360902
2604,Chris Young ,Losing Sleep,63,158,12296390
2605,Luke Combs ,Even Though I'm Leaving,45,42,12294248
2606,Kendrick Lamar ,Worldwide Steppers,15,4,12283698
2607,Machine Gun Kelly ,RAP DEVIL,35,36,12257806
2608,G,Eazy  Drifting,85,36,12256463
2609,Iggy Azalea ,Team,55,50,12250469
2610,Lil Eazzyy ,Onna Come Up,52,90,12244412
2611,Matt Maltese ,As the World Caves In,48,59,12239415
2612,Michael Bublé ,White Christmas (duet with Shania Twain),77,19,12237338
2613,Doja Cat ,I Don't Do Drugs,35,23,12234252
2614,Kiiara ,Whippin,44,75,12224125
2615,Myke Towers ,Bandido,50,88,12218208
2616,Chris Young ,Famous Friends,50,101,12204162
2617,"Tyler, The Creator ",RUNNING OUT OF TIME,27,4,12196650
2618,OneRepublic ,Connection,49,75,12191153
2619,Lil Nas X ,SCOOP,31,7,12190595
2620,DJ Khaled ,How Many Times,119,89,12178744
2621,A$AP Rocky ,L$D,92,7,12151293
2622,My Chemical Romance ,Teenagers,50,73,12137074
2623,Young Thug ,Hop Off A Jet,38,34,12104162
2624,Blake Shelton ,Sangria,118,76,12099217
2625,Florida Georgia Line ,Dirt,133,27,12096181
2626,K CAMP ,Lottery,45,79,12091137
2627,Kanye West ,Stronger,105,111,12088519
2628,Nicky Jam ,X  Remix,44,77,12073062
2629,Tinashe ,2 On,123,37,12071970
2630,Ed Sheeran ,How Would You Feel (Paean),38,27,12064776
2631,iLoveMemphis ,Hit the Quan  Original Version,89,57,12064583
2632,A$AP Rocky ,A$AP Forever,36,33,12047660
2633,J. Cole ,Foldin Clothes,28,8,12020516
2634,Morgan Wallen ,One Thing At A Time,25,7,12019234
2635,Avicii ,The Days,110,22,12013236
2636,Hozier ,Almost (Sweet Music),42,75,12008673
2637,Justin Bieber ,Life Is Worth Living,62,22,12000970
2638,Daya ,New,51,85,11998637
2639,Migos ,Gang Gang,38,21,11989994
2640,J. Cole ,Once an Addict  Interlude,20,12,11988528
2641,6LACK ,Pretty Little Fears,46,29,11967652
2642,The Weeknd ,Scared To Live,24,5,11965171
2643,Marshmello ,Bye Bye,24,3,11961354
2644,Drake ,Keep The Family Close,57,33,11959579
2645,Old Dominion ,No Such Thing as a Broken Heart,67,145,11955802
2646,Bruno Mars ,Versace on the Floor,71,64,11943547
2647,Future ,Jersey,88,42,11922706
2648,Kanye West ,Gold Digger,118,77,11921565
2649,Who Is Fancy ,Boys Like You,100,92,11909051
2650,SleazyWorld Go ,Sleazy Flow,44,99,11899887
2651,Mustard ,Don't Hurt Me,85,127,11891888
2652,Little Mix ,Shout Out to My Ex,46,38,11884778
2653,The Weeknd ,Hardest To Love,24,6,11884736
2654,Idina Menzel ,Baby It's Cold Outside (duet with Michael Bublé),32,67,11875415
2655,Kanye West ,Use This Gospel,19,7,11872806
2656,One Direction ,Infinity,69,7,11862952
2657,Childish Gambino ,Feels Like Summer,35,46,11824595
2658,Jason Aldean ,Got What I Got,52,93,11815864
2659,J. Cole ,t h e . c l i m b . b a c k,21,10,11815552
2660,Taylor Swift ,Call It What You Want,35,12,11810341
2661,Baby Keem ,range brothers,35,11,11802330
2662,Eric Bellinger ,Valet,81,108,11798671
2663,Drake ,Started From the Bottom,171,122,11780231
2664,Kris Kross Amsterdam ,Whenever,41,65,11779292
2665,Adele ,I Drink Wine,21,5,11769515
2666,Kevin Gates ,Time for That,77,129,11762268
2667,ILLENIUM ,Good Things Fall Apart,45,83,11758923
2668,Eminem ,Stepping Stone,23,12,11757084
2669,Kanye West ,Jonah,18,8,11750141
2670,Lil Uzi Vert ,Celebration Station,21,11,11748014
2671,Young Greatness ,Moolah,79,103,11733222
2672,Darius Rucker ,Wagon Wheel,51,67,11715377
2673,Cardi B ,Bickenhead,26,18,11713224
2674,T.I. ,About the Money,145,63,11710257
2675,Halsey ,Hold Me Down,112,63,11707421
2676,Kendrick Lamar ,Purple Hearts,16,9,11706585
2677,Smokepurpp ,123,46,102,11705800
2678,Florida Georgia Line ,Confession,97,133,11705385
2679,Beyoncé ,Partition,150,49,11702948
2680,Drake ,Ratchet Happy Birthday,20,22,11685762
2681,Katy Perry ,Roar,165,40,11658073
2682,G,Eazy  Random,88,37,11655599
2683,G,Eazy  Sober,37,50,11646598
2684,Nicki Minaj ,Familia,40,71,11646004
2685,Drake ,Lose You,26,18,11645849
2686,Dae Dae ,"Wat U Mean (Aye, Aye, Aye)",78,110,11632510
2687,Trippie Redd ,Dark Knight Dummo,47,61,11629877
2688,Cardi B ,Hot Shit,28,6,11621759
2689,Lil Uzi Vert ,Venetia,21,13,11599839
2690,Takeoff ,Last Memory,34,30,11589691
2691,Taylor Swift ,coney island,20,9,11583987
2692,Drake ,Weston Road Flows,54,37,11577129
2693,Rae Sremmurd ,CLOSE,36,37,11572520
2694,Gunna ,SKYBOX,37,44,11559505
2695,Drake ,Yebba’s Heartbreak,18,15,11558654
2696,Quavo ,PASS OUT,23,3,11547341
2697,Coldplay ,Yellow,58,87,11532272
2698,J. Cole ,p u n c h i n ‘ . t h e . c l o c k,16,7,11511002
2699,Ty Dolla $ign ,Campaign,86,111,11500416
2700,Major Lazer ,Trigger,34,32,11495644
2701,Logic ,Overnight,28,7,11464016
2702,NextYoungin ,3 Musketeers,46,98,11456125
2703,Sarah Cothran ,As the World Caves In,49,115,11449911
2704,Panic! At The Disco ,Say Amen (Saturday Night),39,27,11447718
2705,Russ ,HANDSOMER (Remix) (Feat. Ktlyn),39,34,11443793
2706,24kGoldn ,Company,48,105,11428680
2707,Tove Lo ,Stay High  Habits Remix,61,15,11427797
2708,Robin Schulz ,Headlights,93,54,11422810
2709,YoungBoy Never Broke Again ,Hot Now,46,75,11407896
2710,Tyga ,Freaky Deaky,35,9,11406306
2711,Miley Cyrus ,Heart Of Glass (Live from the iHeart Music Festival),41,20,11398407
2712,Benson Boone ,GHOST TOWN,41,54,11397901
2713,Post Malone ,Im Gonna Be,10,11,11379920
2714,Kylie Minogue ,Santa Baby,30,44,11379290
2715,Big Shaq ,Man's Not Hot,49,84,11375957
2716,21 Savage ,Rap Saved Me,35,13,11371035
2717,4*TOWN (From Disney and Pixar’s Turning Red) ,Nobody Like U,40,39,11358002
2718,Ariana Grande ,Be Alright,71,64,11320357
2719,Maluma ,HP,46,111,11307882
2720,Labrinth ,Formula,44,84,11307345
2721,Young Thug ,Hercules,88,101,11305167
2722,Major Lazer ,Powerful,90,54,11303111
2723,Drake ,All Me,151,109,11285570
2724,Taylor Swift ,evermore,21,12,11277665
2725,Why Don't We ,I Don't Belong In This Club,42,86,11228843
2726,Taylor Swift ,dorothea,19,10,11209994
2727,BTS ,Black Swan,30,46,11206182
2728,SZA ,Smoking on my Ex Pack,18,17,11200596
2729,The Backseat Lovers ,Kilby Girl,49,148,11177633
2730,ROSALÍA ,"Yo x Ti, Tu x Mi",44,87,11175791
2731,Harry Styles ,Cherry,27,7,11170808
2732,Gunna ,thought i was playing,28,17,11157150
2733,Machine Gun Kelly ,Trap Paris,57,104,11129223
2734,Future ,712PM,27,4,11128834
2735,Drake ,Plastic Bag,73,30,11122656
2736,Lil Wayne ,Famous,21,12,11083175
2737,Kay Starr ,The Man with the Bag,26,52,11071911
2738,Bo Burnham ,Look Who’s Inside Again,44,75,11070508
2739,G,Eazy  Let's Get Lost,100,124,11060240
2740,Camila Cabello ,Easy,35,37,11047820
2741,Lil Uzi Vert ,Bigger Than Life,20,12,11046510
2742,XXXTENTACION ,infinity (888),30,24,11041478
2743,Taylor Swift ,hoax,21,16,11023937
2744,Shawn Hook ,Reminding Me,56,107,11021570
2745,The Weeknd ,Alone Again,21,2,11019791
2746,Brett Eldredge ,Drunk On Your Love,89,120,11012219
2747,Ariana Grande ,safety net,26,8,11006674
2748,Chris Rea ,Driving Home for Christmas  2019 Remaster,30,52,11004260
2749,Queen ,Under Pressure  Remastered,47,11,10988416
2750,NLE Choppa ,Famous Hoes,41,94,10979047
2751,Lorde ,Royals,143,77,10969460
2752,The Weeknd ,Prisoner,63,17,10966513
2753,Macklemore ,Marmalade,47,63,10936577
2754,Taylor Swift ,Death By A Thousand Cuts,22,13,10934936
2755,Julia Michaels ,Jump,47,113,10931890
2756,Lil Uzi Vert ,POP,17,4,10931175
2757,Doja Cat ,Juicy,42,112,10921989
2758,The 1975 ,The Sound,84,82,10915861
2759,JID ,Surround Sound,40,46,10910949
2760,Sam Smith ,I’m Ready,28,19,10890973
2761,Morgan Wallen ,This Bar,40,44,10890870
2762,Bazzi ,Focus,35,35,10871397
2763,A Boogie Wit da Hoodie ,Jungle,69,116,10859496
2764,Vince Guaraldi Trio ,Linus And Lucy,28,47,10850457
2765,Kendrick Lamar ,untitled 02 | 06.23.2014.,49,4,10849389
2766,Anitta ,Envolver,40,57,10838226
2767,Riton ,Friday,47,107,10832638
2768,Kanye West ,Heaven and Hell,18,10,10829822
2769,Florida Georgia Line ,"God, Your Mama, And Me",58,112,10805955
2770,Kanye West ,Pure Souls,20,14,10793624
2771,Sia ,Audio,43,79,10791355
2772,Justin Bieber ,Been You,56,24,10780657
2773,Lil Wayne ,Dark Side Of The Moon,17,7,10776030
2774,Future ,I'm so Groovy,54,53,10770200
2775,Drake ,Skepta Interlude,24,19,10758257
2776,Tones And I ,Never Seen the Rain,43,126,10755837
2777,SZA ,Conceited,18,22,10753602
2778,Sleepy Hallow ,Deep End Freestyle,28,29,10752006
2779,Lil Tecca ,Out Of Love,46,58,10748864
2780,BTS ,DNA,38,34,10745600
2781,RAYE ,Escapism.,24,28,10733718
2782,Ellie Goulding ,Still Falling For You,48,57,10716377
2783,Nat King Cole ,The Christmas Song (Merry Christmas To You)  Remastered 1999,56,10,10684911
2784,Ed Sheeran ,Barcelona,31,28,10683015
2785,The Weeknd ,Less Than Zero,25,13,10677300
2786,The Chainsmokers ,Side Effects,41,44,10672634
2787,"Tyler, The Creator ",LEMONHEAD,20,3,10666865
2788,Billy Currington ,Don't It,111,72,10651434
2789,Ed Sheeran ,Supermarket Flowers,32,29,10646530
2790,Eric Church ,Record Year,86,152,10645293
2791,Kodak Black ,"If I'm Lyin, I'm Flyin",29,39,10641377
2792,Jordan Davis ,What My World Spins Around,43,135,10641047
2793,Alok ,Hear Me Now,57,106,10630250
2794,MisterWives ,Reflections,151,66,10618516
2795,The Chainsmokers ,Everybody Hates Me,36,54,10615035
2796,Drake ,Since Way Back,26,20,10610704
2797,Coldplay ,Hymn for the Weekend,71,19,10610578
2798,CKay ,love nwantiti,44,98,10607139
2799,The Weeknd ,Too Late,21,3,10606568
2800,AWOLNATION ,Sail,150,83,10604561
2801,Drake ,Fountains,18,18,10603428
2802,Ariana Grande ,nasty,25,7,10597177
2803,A$AP Ferg ,Plain Jane REMIX,40,73,10579763
2804,Twenty One Pilots ,Nico And The Niners,33,28,10562110
2805,Kanye West ,I Thought About Killing You,17,5,10548658
2806,XXXTENTACION ,Save Me,33,35,10541076
2807,Daddy Yankee ,X ÚLTIMA VEZ,39,10,10539542
2808,KIDS SEE GHOSTS ,4th Dimension,21,10,10535187
2809,Kendrick Lamar ,Black Panther,26,11,10526792
2810,Natti Natasha ,Criminal,55,164,10525473
2811,The Kid LAROI ,TELL ME WHY,39,79,10521748
2812,XXXTENTACION ,$$$  with Matt Ox,33,28,10487523
2813,Billie Eilish ,goodbye,30,22,10487149
2814,Calvin Harris ,Heatstroke,42,45,10477596
2815,Anita Kerr Singers ,Jingle Bell Rock,27,30,10475955
2816,PinkPantheress ,Boy's a liar,27,72,10471117
2817,MARINA ,Bubblegum Bitch,46,121,10469310
2818,Stephen Sanchez ,Until I Found You,23,20,10463586
2819,"Tyler, The Creator ",911 / Mr. Lonely,44,48,10460570
2820,Meek Mill ,Uptown Vibes,30,15,10459884
2821,Taylor Swift ,Lover (Remix),25,12,10452654
2822,Shawn Mendes ,Youth,22,27,10439870
2823,Shawn Mendes ,Youth feat. Khalid,25,40,10439121
2824,Bryson Tiller ,Been That Way,92,105,10438865
2825,Lil Peep ,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),43,75,10436513
2826,Taylor Swift ,cowboy like me,19,14,10432873
2827,Vince Staples ,Opps,29,21,10431958
2828,Juice WRLD ,Girl Of My Dreams,28,8,10429348
2829,Shawn Mendes ,Nervous,28,21,10415833
2830,Trippie Redd ,Mac 10,36,26,10407135
2831,Bing Crosby ,I'll Be Home For Christmas  Single Version,26,56,10394004
2832,Dua Lipa ,Love Again,47,78,10379621
2833,Drake ,Used To,73,13,10376229
2834,Calvin Harris ,Over Now,26,4,10364699
2835,Kanye West ,Remote Control,17,12,10364234
2836,Drake ,6 Man,76,19,10343168
2837,Tiësto ,Wasted,118,21,10308797
2838,Taylor Swift ,State Of Grace (Taylor's Version),17,4,10291289
2839,Sara Kays ,Remember That Night?,45,128,10277179
2840,Rihanna ,American Oxygen,66,21,10247664
2841,Nico & Vinz ,That's How You Know,84,72,10207565
2842,Lil Uzi Vert ,You Better Move,17,8,10202028
2843,Hunter Hayes ,21,85,45,10187929
2844,Shawn Mendes ,It'll Be Okay,40,56,10174511
2845,The Weeknd ,Ordinary Life,36,27,10166793
2846,Jeremih ,Pass Dat,87,92,10161932
2847,The Weeknd ,How Do I Make You Love Me?,19,4,10150923
2848,Harry Styles ,Sweet Creature,35,29,10134365
